        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 CPD entry           |                       | 0005C224 | 00000018 | 08FDA5D6 | ----- heci
 CPD entry           |                       | 0005C23C | 00000018 | 8CC867DD | ----- pmdrv
 CPD entry           |                       | 0005C254 | 00000018 | 5862F21E | ----- maestro
 CPD entry           |                       | 0005C26C | 00000018 | 1029AFB2 | ----- fwupdate
 CPD entry           |                       | 0005C284 | 00000018 | 615A2A6A | ----- ptt
 CPD entry           |                       | 0005C29C | 00000018 | F88C280A | ----- mca_boot
 CPD entry           |                       | 0005C2B4 | 00000018 | 17DED8C8 | ----- mca_srv
 CPD partition       | Manifest              | 0005C2CC | 00000580 | 1206058E | ---- FTPR.man
 CPD extension       |                       | 0005C650 | 000000D4 | 785F506C | ----- System Info
 CPD extension       |                       | 0005C724 | 00000030 | FAC6B8F7 | ----- Client System Info
 CPD extension       |                       | 0005C754 | 00000018 | E51A2BB6 | ----- Feature Permissions
 CPD extension       |                       | 0005C76C | 00000078 | A820FFDF | ----- Signed Package Info
 CPD SPI entry       |                       | 0005C76C | 00000044 | 05A5FBC2 | ------ intl.cfg
 CPD extension       |                       | 0005C7E4 | 00000068 | E169B3C9 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 0005C84C | 00000048 | 527724D3 | ---- intl.cfg.met
 CPD extension       |                       | 0005C84C | 00000048 | 527724D3 | ----- Module Attributes
 Padding             | Empty (FFh)           | 0005C894 | 0000076C | CF867314 | ---- Padding
 CPD partition       | Code                  | 0005D000 | 000007EC | 12A07BA3 | ---- rot.key
 Padding             | Empty (FFh)           | 0005D7EC | 00000814 | 03B7034E | ---- Padding
 CPD partition       | Code                  | 0005E000 | 00013000 | 459E68B3 | ---- kernel
 CPD partition       | Code                  | 00071000 | 0001C000 | 3A411D14 | ---- syslib
 CPD partition       | Code                  | 0008D000 | 00038000 | 7FB469BF | ---- bup
 CPD partition       | Code                  | 000C5000 | 00004BDA | E9B49CA0 | ---- intl.cfg
 Padding             | Empty (FFh)           | 000C9BDA | 00000426 | 60D7296D | ---- Padding
 CPD partition       | Code                  | 000CA000 | 00003000 | 7DB3B5FF | ---- pm
 CPD partition       | Code                  | 000CD000 | 00011000 | 18A9B5A5 | ---- vfs
 CPD partition       | Code                  | 000DE000 | 00003000 | 8BF8AFFE | ---- evtdisp
 CPD partition       | Code                  | 000E1000 | 00005000 | EDA86A46 | ---- loadmgr
 CPD partition       | Code                  | 000E6000 | 00002000 | 71B45735 | ---- busdrv
 CPD partition       | Code                  | 000E8000 | 00001000 | 95E4C6BD | ---- prtc
 CPD partition       | Code                  | 000E9000 | 00002075 | E6C3FBE6 | ---- smbus
 Padding             | Empty (FFh)           | 000EB075 | 00000F8B | DDBCBD14 | ---- Padding
 CPD partition       | Code                  | 000EC000 | 00026000 | F91AD8EE | ---- crypto
 CPD partition       | Code                  | 00112000 | 00004000 | 7A65AE30 | ---- fpf
 CPD partition       | Code                  | 00116000 | 0000C840 | 499E0EB3 | ---- storage
 CPD partition       | Code                  | 00122840 | 00001840 | CFC14C28 | ---- gpio
 CPD partition       | Code                  | 00124080 | 00002600 | 19AAA53B | ---- ipc_drv
 CPD partition       | Code                  | 00126680 | 000008C0 | F3741E6D | ---- sec_msg
 CPD partition       | Code                  | 00126F40 | 00005E40 | 7CBF4EDE | ---- policy
 CPD partition       | Code                  | 0012CD80 | 00006280 | 0FD68E94 | ---- heci
 CPD partition       | Code                  | 00133000 | 00001D80 | 20C32B73 | ---- pmdrv
 CPD partition       | Code                  | 00134D80 | 00002700 | 349E8CAE | ---- maestro
 CPD partition       | Code                  | 00137480 | 00006180 | BF09DC90 | ---- fwupdate
 CPD partition       | Code                  | 0013D600 | 0001D140 | 541CACB1 | ---- ptt
 CPD partition       | Code                  | 0015A740 | 00002640 | B53E74FB | ---- mca_boot
 CPD partition       | Code                  | 0015CD80 | 00008000 | C78E5072 | ---- mca_srv
 Padding             | Empty (FFh)           | 00164D80 | 0001C280 | 5BAD02AF | ---- Padding
 BPDT partition      |                       | 00181000 | 00001000 | EF34E9D4 | --- OEM Key Manifest | OEM Key Manifest
 CPD store           |                       | 00181000 | 0000002C | 21A11853 | ---- CPD partition table
 CPD entry           |                       | 00181014 | 00000018 | 0F861959 | ----- OEMP.man
 CPD partition       | Manifest              | 0018102C | 00000498 | 87228FAA | ---- OEMP.man
 CPD extension       |                       | 001813B0 | 00000034 | C12EB570 | ----- Signed Package Info
